Title,Company's Name,Location,Duration,Stipend
Data Analyst,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
Artificial Intelligence (AI),HeyCloudy,Work from home,3 Months,"₹ 2,000 "
Business Strategy Analyst,Faclon,Mumbai,3 Months,"₹ 7,000 - 12,000 "
Environment Policy Research,Finovista,Delhi,4 Months,"₹ 15,000 - 15,001 "
Search Engine Optimization (SEO),Destination Experts,Delhi,4 Months,"₹ 6,000 - 10,000 "
Digital Marketing,Cherub Web Services,Work from home,3 Months,"₹ 3,000 - 7,000 "
Podcast Scriptwriter,Greater Than Educational Technologies,Hyderabad,6 Months,"₹ 15,000 - 25,000 "
Search Engine Optimization (SEO),Puraskaar NGO,Work from home,3 Months,Unpaid
Search Engine Optimization (SEO),Holiday Dost,Work from home,3 Months,"₹ 5,000 - 6,000 "
Search Engine Optimization (SEO),Neotechie Pvt Ltd,"Noida, Uttar Pradesh",6 Months,"₹ 2,000 - 2,500 "
GenAI/LLM,Resolute AI Software Private Limited,Work from home,6 Months,"₹ 5,000 - 8,000 "
Game Analyst,Underpin Services,"Delhi, Noida",6 Months,"₹ 15,000 "
Fundraising,Pawzz Foundation,Work from home,1 Month,"₹ 1,500 - 15,000 "
Social Impact,Pawzz Foundation,Work from home,1 Month,"₹ 1,500 - 15,000 "
Resource Development,Pawzz,Work from home,3 Weeks,"₹ 1,500 - 15,000 "
Marketing Associate,Pawzz,Work from home,4 Weeks,"₹ 1,500 - 15,000 "
Sales & Research- HEC,Burlington English India,"Delhi, Gurgaon",2 Months,"₹ 10,000 "
Chatbot,Talent Corner HR Services,Mumbai,3 Months,"₹ 15,000 lump sum"
AI Trainer (Bengali),Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
Travel Research & Product Testing,EnchantXP Experiences Pvt. Ltd.,Gurgaon,2 Months,"₹ 5,000 - 7,000 "
Research,Earth5R,Work from home,3 Months,Unpaid
Sales,Forward Slash Media Solutions,Kochi,2 Months,"₹ 7,000 - 9,000 "
Video Editing/Making,Health Peak,Work from home,3 Months,"₹ 12,000 "
Artificial Neural Networks,Amart Global,Work from home,6 Months,Unpaid
MarTech Strategy & Campaign Manager (Business Analyst),Attributics,Pune,6 Months,"₹ 15,000 - 20,000 "
Data Annotation,Daten & Wissen Private Limited,Mumbai,6 Months,"₹ 4,500 - 5,000 "
Market Research,AGRIFUSION TECHNOLOGIES PRIVATE LIMITED,Ahmedabad,2 Months,"₹ 4,000 - 8,000 "
Search Engine Optimization (SEO),Jain Bliss,Mumbai,4 Months,"₹ 5,000 - 7,000 "
Marketing & Social Media Intern,RAMS TRAVEL APPSUITE LLP,Bangalore,3 Months,"₹ 5,000 - 10,000 "
Animation,Dashtoon,Work from home,3 Months,"₹ 5,000 - 15,000 "
Search Engine Optimization (SEO),Adexa Pharma Private Limited,Delhi,3 Months,"₹ 4,000 - 8,000 "
Artificial Intelligence (AI),AI Certs,Work from home,5 Months,"₹ 15,000 - 20,000 "
Full Stack AI Engineer - Intern,AffinityAnswers,Work from home,6 Months,"₹ 30,000 - 35,000 "
Robotics Engineer,MiBOT Ventures India Private Limited,Chennai,4 Months,"₹ 5,000 - 7,500 "
Data Science,Emoolar Technology Private Limited,Work from home,3 Months,"₹ 5,000 - 7,000 "
Visual Design,Tcules UX Studio,Ahmedabad,6 Months,"₹ 20,000 - 30,000 "
Causal Machine Learning,International Institute Of SDGs & Public Policy Research,Work from home,3 Months,Unpaid
Sales & Digital Marketing,Upsolve,Work from home,2 Months,"₹ 18,000 - 20,000 "
Social Entrepreneurship,Pawzz Foundation,Work from home,1 Month,"₹ 1,500 - 15,000 "
Social Work,Pawzz Foundation,Work from home,1 Month,"₹ 1,500 - 15,000 "
Equity Analyst,Modani Financial Services,Jaipur,4 Months,"₹ 2,000 "
Digital Marketing Teaching Assistant,Internshala,Work from home,6 Months,"₹ 14,445 "
Full Stack Development,Louder World,Delhi,6 Months,"₹ 8,000 - 12,000 "
Data Analytics,Kyaneos Technologies Private Limited,Work from home,6 Months,"₹ 20,000 - 25,001 "
Graphic Design,Collective Artists Network,Mumbai,3 Months,"₹ 5,000 - 7,000 "
Graphic Design,IMocha,Pune,6 Months,"₹ 8,000 - 12,000 "
Full Stack Development,Oddmind Innovations,Work from home,2 Months,"₹ 5,000 - 7,500 "
Data Analytics,The Affordable Organic Store,Hyderabad,6 Months,"₹ 6,000 "
Digital Marketing,GoMechanic,Gurgaon,6 Months,"₹ 3,10,000 - 4,12,000 "
Recruitment,Pawzz,Work from home,4 Months,"₹ 7,000 - 20,000 "
Search Engine Optimization (SEO),Verve Management,Work from home,5 Months,"₹ 6,000 - 10,002 "
Data Analyst,Khilonamart,Indore,6 Months,"₹ 4,000 - 7,000 "
Business Strategy,Doodhvale,"Faridabad, Delhi, Gurgaon, Noida",2 Months,"₹ 8,000 - 15,000 "
Python Development,iTech Mission Private Limited,"Delhi, Gurgaon, Noida",6 Months,"₹ 15,000 "
Data Analytics,Jobyaari,Work from home,4 Months,"₹ 2,000 - 3,000 "
Business Development (Sales),Flybed Home,Mumbai,3 Months,"₹ 5,000 - 6,000 "
Functional Consulting- HR SaaS,Global Groupware Solutions Limited,Work from home,6 Months,"₹ 25,000 - 35,000 "
AI Trainer (Gujarati),Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
AI Trainer (Telugu),Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
AI Trainer (Tamil),Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
AI Trainer (Urdu),Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
AI Trainer (Hindi),Graveiens Eduservices Private Limited,Work from home,3 Months,"₹ 10,000 - 20,000 "
Graphic Design,Divya Tiwari,Gwalior,4 Months,"₹ 5,000 "
Digital Marketing & AI Executive,Bookgram Publishers,Work from home,3 Months,"₹ 4,000 - 7,000 lump sum"
Sales,River Mobility,Bangalore,6 Months,"₹ 15,000 - 20,000 "
Data Engineering,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
Competitor Benchmarking,Petpooja,Ahmedabad,2 Months,"₹ 10,000 "
Data Analytics,WiseAnalytics,Bangalore,2 Months,"₹ 2,000 - 20,000 "
